Race,% Cases,% Deaths
American Indian/Alaska Native,0.532650582750838,1.0256410256410255
Asian/Pacific Islander,1.5049788155314077,1.0658622423328306
Black,12.442713232709389,21.830065359477125
Multiple,3.2342315606421153,1.4177978883861238
Other,5.272737028961781,2.6344896933132227
Unknown,19.44875483070494,4.358974358974359
White,57.56393394869953,67.66716943187532
